Region,Seed,Team,Basketball Budget,Number of Students, Tuition ,expense_ratio
South,14,Old Dominion," $3,348,329.00 "," 15,021 "," $26,220.00 ",0.85015%
South,7,Cincinnati," $7,465,979.00 "," 22,495 "," $26,334.00 ",1.26033%
South,10,Iowa," $6,851,315.00 "," 28,640 "," $27,890.00 ",0.85773%
South,2,Tennessee," $8,386,526.00 "," 20,909 "," $30,856.00 ",1.29990%
South,15,Colgate," $1,912,443.00 "," 2,850 "," $49,970.00 ",1.34287%
Midwest,1,North Carolina," $9,728,533.00 "," 18,275 "," $33,673.00 ",1.58091%
Midwest,16,Iona," $2,755,804.00 "," 2,948 "," $35,324.00 ",2.64637%
Midwest,8,Utah St.," $3,451,734.00 "," 17,042 "," $19,760.00 ",1.02501%
Midwest,9,Washington," $8,656,133.00 "," 28,537 "," $49,986.00 ",0.60683%
Midwest,5,Auburn," $9,446,382.00 "," 21,432 "," $28,040.00 ",1.57190%
Midwest,12,New Mexico St.," $2,485,019.00 "," 9,661 "," $19,652.00 ",1.30888%
Midwest,4,Kansas," $11,859,953.00 "," 17,046 "," $26,659.00 ",2.60986%
Midwest,13,Northeastern," $3,241,890.00 "," 13,666 "," $45,530.00 ",0.52103%
Midwest,6,Iowa St.," $6,851,315.00 "," 28,640 "," $20,856.00 ",1.14702%
Midwest,11,Ohio St.," $20,653,121.00 "," 41,824 "," $27,365.00 ",1.80453%
Midwest,3,Houston," $5,314,928.00 "," 26,755 "," $20,519.00 ",0.96814%
Midwest,14,Gorgia State," $2,555,552.00 "," 19,731 "," $23,542.00 ",0.55016%
Midwest,7,Wofford," $1,604,157.00 "," 1,662 "," $38,705.00 ",2.49373%
Midwest,10,Seton Hall," $6,301,138.00 "," 5,547 "," $38,072.00 ",2.98370%
Midwest,2,Kentucky," $18,571,056.00 "," 20,611 "," $24,268.00 ",3.71282%
Midwest,15,Abilene Christian," $1,363,430.00 "," 3,508 "," $30,830.00 ",1.26067%
